Study Hours,Attendance,Previous Score,Internet,Sleep Hours,Pass
6.6,41.5,49.3,Yes,4.7,No
7.5,72.7,71.3,Yes,4.1,Yes
5.3,41.6,43.9,No,5.1,No
8.2,40.4,86.4,No,5.7,Yes
9.6,60.2,36.5,Yes,5.8,Yes
3.0,42.6,62.2,Yes,8.9,No
5.7,89.8,73.3,No,6.9,Yes
0.9,53.7,50.3,Yes,8.3,No
4.1,67.2,88.4,Yes,5.9,Yes
3.0,96.2,75.4,Yes,6.7,Yes
4.9,56.2,94.8,Yes,7.4,Yes
7.9,53.7,32.2,No,6.0,No
9.2,74.0,80.3,Yes,7.3,Yes
9.2,67.5,48.5,Yes,7.7,Yes
7.6,65.7,70.8,No,5.1,Yes
5.3,45.5,33.3,Yes,4.8,No
7.0,75.8,56.9,No,6.6,Yes
8.7,40.7,80.5,No,7.8,Yes
3.3,49.5,30.2,No,8.9,No
5.3,46.4,73.8,Yes,4.8,Yes
5.6,86.7,67.1,Yes,7.0,Yes
1.6,61.8,99.0,No,5.2,No
5.9,44.7,81.2,Yes,8.9,Yes
1.7,79.6,96.3,Yes,5.3,Yes
4.5,52.7,67.8,Yes,7.6,Yes
6.9,62.4,93.0,No,4.6,Yes
3.7,75.3,46.1,Yes,4.0,Yes
1.1,44.0,32.2,No,4.4,No
6.9,52.9,39.3,No,5.2,No
4.4,45.7,76.1,No,6.1,No
7.4,80.4,98.9,Yes,4.3,Yes
8.1,46.6,43.4,No,4.7,No
4.9,92.5,35.3,Yes,4.3,Yes
8.4,98.1,94.8,Yes,4.8,Yes
2.5,64.1,34.1,No,4.0,No
9.3,87.1,50.0,No,4.8,Yes
9.7,74.8,68.0,No,4.3,Yes
5.3,91.2,41.0,Yes,8.3,Yes
1.1,91.7,58.3,Yes,6.9,No
1.3,79.4,69.6,No,8.7,No
7.3,54.3,57.7,No,6.3,Yes
9.4,40.6,73.5,Yes,4.4,Yes
3.0,96.0,91.7,Yes,5.8,Yes
8.4,82.2,72.8,Yes,7.3,Yes
9.4,46.2,91.5,No,4.6,Yes
5.8,56.3,72.3,No,5.0,Yes
3.0,69.3,93.4,Yes,4.5,Yes
3.1,40.2,84.0,No,4.8,No
7.2,73.7,37.8,Yes,6.7,Yes
6.0,48.9,38.9,No,5.8,Yes
