Student_ID,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access,Parent_Education,Family_Income,Stress_Level,Sleep_Hours,Attendance_Percentage,Teacher_Quality,Learning_Style,Motivation_Level
1,92.2,98.7,92.7,86.8,89.0,84.7,90.7,A,20.0,No,No,None,Low,Medium,6.1,98.9,Good,Reading/Writing,High
2,69.7,65.8,70.3,60.8,62.3,65.1,65.7,D,7.8,No,Yes,Master's,Low,High,5.4,77.7,Good,Auditory,High
3,100,93.0,94.8,94.6,97.0,98.3,96.3,A,25.5,Yes,Yes,PhD,High,High,5.2,83.4,Average,Visual,High
4,57.2,62.9,54.4,46.4,46.0,56.4,53.9,F,10.8,No,Yes,High School,High,High,7.9,75.1,Poor,Kinesthetic,High
5,53.4,63.4,67.3,68.0,62.0,59.0,62.2,D,4.3,Yes,Yes,Bachelor's,High,High,7.6,78.7,Poor,Kinesthetic,Medium
6,69.6,60.5,75.2,74.4,68.1,57.4,67.5,D,12.6,Yes,Yes,Bachelor's,Medium,High,7.2,75.7,Poor,Reading/Writing,Medium
7,52.6,59.9,53.9,58.9,55.9,66.3,57.9,F,7.3,No,No,High School,Medium,Medium,6.2,85.6,Excellent,Kinesthetic,Medium
8,67.3,73.3,65.4,69.4,74.1,79.0,71.4,C,9.2,Yes,Yes,None,Low,High,5.5,75.5,Good,Kinesthetic,Medium
9,79.8,77.5,82.4,75.5,78.1,88.2,80.3,B,19.2,No,Yes,None,Medium,High,6.4,89.1,Excellent,Visual,Medium
10,72.8,74.5,73.0,65.9,68.1,77.8,72.0,C,8.4,Yes,No,None,High,Medium,5.6,95.4,Good,Auditory,High
11,72.5,66.1,71.6,76.0,66.6,69.5,70.4,C,19.0,Yes,No,High School,High,High,4.1,70.2,Excellent,Visual,High
12,90.7,84.0,85.6,72.9,81.7,83.2,83.0,B,15.3,Yes,Yes,High School,Low,High,4.1,81.5,Excellent,Visual,Medium
13,100,92.1,96.4,100,97.5,96.7,97.1,A,27.8,No,No,Master's,Medium,Medium,5.9,96.5,Poor,Reading/Writing,Low
14,73.9,78.0,87.9,77.4,71.8,81.6,78.4,C,19.9,No,Yes,None,Low,Low,5.0,71.1,Poor,Reading/Writing,Medium
15,66.0,73.5,79.7,68.5,71.8,68.5,71.3,C,22.5,No,No,High School,Medium,Low,8.7,60.3,Poor,Reading/Writing,Low
16,82.0,82.5,89.5,86.3,80.4,77.6,83.1,B,16.7,No,No,Master's,High,Low,6.7,82.5,Poor,Auditory,Medium
17,83.4,83.9,90.5,92.2,83.9,94.9,88.1,B,16.7,No,No,Bachelor's,High,High,8.5,97.2,Average,Kinesthetic,Low
18,81.3,68.6,65.9,76.6,77.0,70.7,73.3,C,11.5,Yes,No,High School,Medium,Medium,8.5,86.1,Poor,Reading/Writing,High
19,89.7,93.4,81.8,85.1,84.5,83.2,86.3,B,23.2,Yes,No,High School,High,High,7.8,75.2,Good,Auditory,Low
20,88.0,87.4,81.5,92.7,91.8,82.6,87.3,B,22.8,Yes,Yes,PhD,High,Medium,8.1,60.4,Average,Visual,Low
21,100,100,100,100,100,97.0,99.5,A,23.4,Yes,Yes,Master's,Low,Low,8.2,81.8,Good,Auditory,Medium
22,79.4,66.7,75.9,78.2,74.8,68.6,73.9,C,10.9,No,No,Bachelor's,High,High,8.7,98.5,Poor,Kinesthetic,High
23,64.9,67.1,57.2,74.2,60.9,72.0,66.0,D,10.4,Yes,Yes,Master's,High,High,8.0,92.7,Average,Auditory,Low
24,61.5,67.1,64.7,71.0,66.5,56.6,64.6,D,12.2,No,No,High School,Low,Low,5.2,78.8,Average,Kinesthetic,Low
25,70.7,74.2,74.6,68.3,60.4,73.0,70.2,C,10.5,Yes,Yes,None,Medium,High,4.4,87.2,Good,Reading/Writing,Low
26,78.9,76.8,85.8,87.9,85.2,72.8,81.2,B,23.9,No,No,PhD,High,High,8.8,73.8,Good,Visual,Medium
27,64.2,64.7,65.7,52.5,58.8,55.1,60.2,D,11.8,No,Yes,Master's,Medium,Medium,6.9,68.6,Good,Visual,Low
28,84.2,98.6,89.2,85.0,96.1,83.3,89.4,B,22.4,No,No,None,Medium,High,8.8,73.3,Average,Kinesthetic,Low
29,78.6,74.6,86.3,84.7,76.7,86.2,81.2,B,21.0,Yes,No,None,Low,High,8.8,85.6,Poor,Visual,Low
30,100,93.0,100,93.2,89.5,93.5,94.9,A,22.6,Yes,Yes,PhD,Medium,High,7.6,88.2,Average,Auditory,High
31,97.1,93.9,100,98.4,97.5,94.5,96.9,A,21.1,No,Yes,None,Low,Medium,7.4,99.2,Average,Auditory,Low
32,79.1,79.9,68.3,81.1,82.2,74.5,77.5,C,13.3,No,Yes,None,Medium,Medium,7.0,71.9,Good,Reading/Writing,High
33,94.6,87.6,92.2,83.3,95.5,84.5,89.6,B,16.5,No,No,PhD,High,Medium,8.9,96.7,Excellent,Visual,Low
34,90.0,95.1,85.7,100,93.5,95.4,93.3,A,27.4,No,No,PhD,Medium,High,6.3,75.8,Good,Reading/Writing,Low
35,70.5,73.9,73.8,79.0,69.7,75.8,73.8,C,8.7,Yes,No,High School,Low,Medium,5.3,98.1,Excellent,Reading/Writing,High
